Node	x	y	qi
1	87	27	21
2	72	9	21
3	72	33	20
4	55	1	19
5	94	28	22
6	48	23	13
7	88	41	17
8	55	6	23
9	42	71	18
10	46	90	22
11	35	18	20
12	36	29	16
13	15	75	25
14	85	93	32
15	95	13	23
16	26	78	24
17	52	40	16
18	35	28	21
19	71	20	18
20	89	62	20
21	8	65	19
22	10	97	21
23	21	92	19
24	11	27	25
25	81	17	19
26	69	0	15
27	20	96	19
28	32	46	20
29	73	38	13
30	5	93	25
31	53	75	19
32	67	88	24
33	95	84	20
34	83	93	23
35	22	68	21
36	83	58	14
37	35	26	15
38	64	17	28
39	66	4	20
40	94	58	18
41	93	22	18
42	84	0	21
43	37	51	20
44	92	95	15
45	97	49	22
46	83	12	18
47	56	67	20
48	78	77	23
49	4	22	19
50	81	76	16
Competitor: 	41	43	31	30
