Node	x	y	qi
1	27	18	13
2	95	15	17
3	26	91	26
4	85	49	27
5	71	58	20
6	3	36	23
7	2	8	18
8	73	43	30
9	3	44	18
10	97	50	13
11	30	5	18
12	17	77	14
13	17	73	20
14	24	74	22
15	22	79	22
16	68	27	20
17	47	70	18
18	20	66	22
19	73	92	30
20	87	3	23
21	32	73	17
22	23	77	19
23	87	98	20
24	56	13	24
25	83	41	22
26	46	13	17
27	36	15	19
28	46	5	27
29	15	36	11
30	43	52	16
31	23	50	24
32	99	81	21
33	95	95	18
34	40	69	16
35	68	81	15
36	35	66	23
37	83	68	24
38	12	43	16
39	17	23	20
40	97	100	27
41	93	15	19
42	83	97	15
43	80	83	20
44	1	30	23
45	81	22	20
46	34	58	20
47	84	17	18
48	61	20	20
49	96	80	14
50	97	85	21
Competitor: 	26	19	4	34
