I,J,K,Number Competitors,r (Number new facilities),"Number Variables(x,y)",Number Constraints,Objective Value,Times (sec)
10,10,1000,5,1,100010,244871,6431.30,554.6993
10,10,1000,5,2,100010,244871,10740.91,576.4009
10,10,1000,5,4,100010,244871,16669.34,583.8539
10,10,1000,5,6,100010,244871,21261.54,546.6561
10,10,1000,5,8,100010,244871,25054.62,567.1688
10,10,100,5,1,10010,24511,12204.21,6.4907
10,10,100,5,2,10010,24511,17688.55,6.5602
10,10,100,5,4,10010,24511,25604.88,6.5075
10,10,100,5,6,10010,24511,31286.31,5.8185
10,10,100,5,8,10010,24511,34588.38,6.0647
10,10,10,5,1,1010,2461,12000.21,0.1948
10,10,10,5,2,1010,2461,20688.15,0.1947
10,10,10,5,4,1010,2461,30395.00,0.1923
10,10,10,5,6,1010,2461,34598.46,0.1951
10,10,10,5,8,1010,2461,34598.46,0.1949
10,10,200,5,1,20010,49071,6694.69,24.1515
10,10,200,5,2,20010,49071,11606.05,24.3761
10,10,200,5,4,20010,49071,18726.80,24.1698
10,10,200,5,6,20010,49071,24777.91,24.2011
10,10,200,5,8,20010,49071,28412.64,22.8673
10,10,500,5,1,50010,122371,8725.35,134.9849
10,10,500,5,2,50010,122371,14319.91,140.9110
10,10,500,5,4,50010,122371,22922.40,162.6985
10,10,500,5,6,50010,122371,28862.68,171.1576
10,10,500,5,8,50010,122371,33794.78,154.6710
